2026-08-23T15:43:34+00:00 | scrobbled=0 | new_tracks=0
2026-08-23T15:56:31+00:00 | scrobbled=200 | new_tracks=200
2026-08-23T16:23:00+00:00 | scrobbled=0 | new_tracks=0
2026-08-23T18:27:45+00:00 | scrobbled=14 | new_tracks=14
2026-08-23T20:20:49+00:00 | scrobbled=0 | new_tracks=0
2026-08-23T22:20:04+00:00 | scrobbled=17 | new_tracks=17
2026-08-24T01:11:57+00:00 | scrobbled=0 | new_tracks=0
2026-08-24T03:01:57+00:00 | scrobbled=0 | new_tracks=0
2026-08-24T04:46:40+00:00 | scrobbled=200 | new_tracks=200
2026-08-24T06:59:40+00:00 | scrobbled=200 | new_tracks=200
2026-08-24T08:46:07+00:00 | scrobbled=0 | new_tracks=0
2026-08-24T10:35:42+00:00 | scrobbled=0 | new_tracks=0
2026-08-24T12:47:10+00:00 | scrobbled=0 | new_tracks=0
2026-08-24T14:40:05+00:00 | scrobbled=3 | new_tracks=3
2026-08-24T16:35:46+00:00 | scrobbled=7 | new_tracks=7
2026-08-24T18:38:03+00:00 | scrobbled=0 | new_tracks=0
2026-08-24T20:28:36+00:00 | scrobbled=0 | new_tracks=0
2026-08-24T22:24:16+00:00 | scrobbled=2 | new_tracks=2
2026-08-25T01:10:57+00:00 | scrobbled=26 | new_tracks=26
2026-08-25T02:57:28+00:00 | scrobbled=0 | new_tracks=0
2026-08-25T04:37:22+00:00 | scrobbled=0 | new_tracks=0
2026-08-25T06:43:39+00:00 | scrobbled=0 | new_tracks=0
2026-08-25T08:40:08+00:00 | scrobbled=0 | new_tracks=0
2026-08-25T10:31:17+00:00 | scrobbled=0 | new_tracks=0
2026-08-25T12:43:46+00:00 | scrobbled=7 | new_tracks=7
2026-08-25T14:43:13+00:00 | scrobbled=0 | new_tracks=0
2026-08-25T16:35:33+00:00 | scrobbled=0 | new_tracks=0
2026-08-25T18:37:33+00:00 | scrobbled=0 | new_tracks=0
2026-08-25T20:31:04+00:00 | scrobbled=200 | new_tracks=200
2026-08-25T22:25:33+00:00 | scrobbled=0 | new_tracks=0
2026-08-26T01:13:01+00:00 | scrobbled=0 | new_tracks=0
2026-08-26T03:07:06+00:00 | scrobbled=200 | new_tracks=200
2026-08-26T04:38:04+00:00 | scrobbled=0 | new_tracks=0
2026-08-26T06:46:11+00:00 | scrobbled=0 | new_tracks=0
2026-08-26T08:41:01+00:00 | scrobbled=0 | new_tracks=0
2026-08-26T10:33:48+00:00 | scrobbled=0 | new_tracks=0
2026-08-26T12:49:19+00:00 | scrobbled=0 | new_tracks=0
2026-08-26T14:46:24+00:00 | scrobbled=200 | new_tracks=200
2026-08-26T16:47:11+00:00 | scrobbled=0 | new_tracks=0
2026-08-26T19:46:53+00:00 | scrobbled=0 | new_tracks=0
2026-08-26T22:44:30+00:00 | scrobbled=41 | new_tracks=41
2026-08-27T07:26:16+00:00 | scrobbled=16 | new_tracks=16
2026-08-27T18:51:14+00:00 | scrobbled=0 | new_tracks=0
2026-08-28T04:02:36+00:00 | scrobbled=2 | new_tracks=2
2026-08-28T18:13:59+00:00 | scrobbled=29 | new_tracks=29
2026-08-29T02:43:08+00:00 | scrobbled=0 | new_tracks=0
2026-08-29T10:49:13+00:00 | scrobbled=0 | new_tracks=0
2026-08-29T16:16:14+00:00 | scrobbled=72 | new_tracks=72
2026-08-29T20:28:55+00:00 | scrobbled=116 | new_tracks=116
2026-08-29T23:53:25+00:00 | scrobbled=0 | new_tracks=0
2026-08-30T03:47:04+00:00 | scrobbled=0 | new_tracks=0
2026-08-30T09:45:02+00:00 | scrobbled=0 | new_tracks=0
2026-08-30T14:40:53+00:00 | scrobbled=0 | new_tracks=0
2026-08-30T19:03:29+00:00 | scrobbled=22 | new_tracks=22
2026-08-30T22:24:38+00:00 | scrobbled=1 | new_tracks=1
2026-08-31T03:49:31+00:00 | scrobbled=10 | new_tracks=10
2026-08-31T10:34:14+00:00 | scrobbled=0 | new_tracks=0
2026-08-31T18:48:17+00:00 | scrobbled=7 | new_tracks=7
2026-08-31T23:37:22+00:00 | scrobbled=0 | new_tracks=0
2026-09-01T03:46:06+00:00 | scrobbled=200 | new_tracks=200
2026-09-01T09:11:23+00:00 | scrobbled=14 | new_tracks=14
2026-09-01T14:32:50+00:00 | scrobbled=51 | new_tracks=51
2026-09-01T19:12:58+00:00 | scrobbled=0 | new_tracks=0
